Filing ID;Company;Ticker;CIK;Filing Date;Filing Type;Period End;Fiscal Year;Fiscal Period;SEC Link;Calcbench Published;Data
934325;Deere & Co;DE;315189;3.6.2014;8-K ;30.7.2014;2014;3;http://www.sec.gov/Archives/edgar/data/315189/000110465914043871/0001104659-14-043871-index.htm;4.6.2014;FALSE
1024936;Chevron Corp;CVX;93410;2.6.2014;8-K ;29.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/93410/000009341014000029/0000093410-14-000029-index.htm;3.6.2014;FALSE
890183;Visa Inc.;V;1403161;2.6.2014;8-K ;29.6.2014;2014;3;http://www.sec.gov/Archives/edgar/data/1403161/000119312514223335/0001193125-14-223335-index.htm;3.6.2014;FALSE
929836;Advanced Micro Devices Inc;AMD;2488;2.6.2014;8-K ;27.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/2488/000119312514222915/0001193125-14-222915-index.htm;2.6.2014;FALSE
937518;Exxon Mobil Corp;XOM;34088;1.6.2014;8-K ;29.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/34088/000003408814000024/0000034088-14-000024-index.htm;2.6.2014;FALSE
929837;Advanced Micro Devices Inc;AMD;2488;1.6.2014;8-K ;27.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/2488/000119312514221063/0001193125-14-221063-index.htm;2.6.2014;FALSE
962188;Verizon Communications Inc;VZ;732712;1.6.2014;8-K ;29.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/732712/000119312514221037/0001193125-14-221037-index.htm;2.6.2014;FALSE
775168;Walt Disney Co/;DIS;1744489;1.6.2014;8-K ;27.6.2014;2014;3;http://www.sec.gov/Archives/edgar/data/1001039/000110465914042999/0001104659-14-042999-index.htm;30.5.2014;FALSE
936516;Apple Inc;AAPL;320193;29.5.2014;8-K ;27.6.2014;2014;3;http://www.sec.gov/Archives/edgar/data/320193/000118143114021923/0001181431-14-021923-index.htm;30.5.2014;FALSE
293003;SALESFORCE COM INC;CRM;1108524;28.5.2014;10-Q;29.4.2014;2015;1;http://www.sec.gov/Archives/edgar/data/1108524/000144530514002370/0001445305-14-002370-index.htm;30.5.2014;TRUE
292964;DEERE & CO;DE;315189;28.5.2014;10-Q;29.4.2014;2014;2;http://www.sec.gov/Archives/edgar/data/315189/000110465914042322/0001104659-14-042322-index.htm;29.5.2014;TRUE
292961;TARGET CORP;TGT;27419;28.5.2014;10-Q;2.5.2014;2014;1;http://www.sec.gov/Archives/edgar/data/27419/000002741914000021/0000027419-14-000021-index.htm;29.5.2014;TRUE
962189;Verizon Communications Inc;VZ;732712;28.5.2014;8-K ;29.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/732712/000119312514215989/0001193125-14-215989-index.htm;29.5.2014;FALSE
949660;Mcdonalds Corp;MCD;63908;27.5.2014;8-K ;29.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/63908/000006390814000039/0000063908-14-000039-index.htm;28.5.2014;FALSE
795103;Nvidia Corp;NVDA;1045810;27.5.2014;8-K ;26.7.2014;2015;2;http://www.sec.gov/Archives/edgar/data/1045810/000104581014000101/0001045810-14-000101-index.htm;28.5.2014;FALSE
946282;Intel Corp;INTC;50863;27.5.2014;8-K ;27.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/50863/000005086314000042/0000050863-14-000042-index.htm;28.5.2014;FALSE
949661;Mcdonalds Corp;MCD;63908;26.5.2014;8-K ;29.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/63908/000006390814000037/0000063908-14-000037-index.htm;27.5.2014;FALSE
1008437;Chubb Ltd;CB;896159;26.5.2014;8-K ;29.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/896159/000119312514212221/0001193125-14-212221-index.htm;27.5.2014;FALSE
971297;Pfizer Inc;PFE;78003;26.5.2014;8-K ;28.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/78003/000119312514212123/0001193125-14-212123-index.htm;27.5.2014;FALSE
954428;Bank Of America Corp /DE/;BAC;70858;26.5.2014;8-K ;29.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/70858/000007085814000062/0000070858-14-000062-index.htm;27.5.2014;FALSE
788395;Firstenergy Corp;FE;1031296;20.5.2014;8-K ;29.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/1031296/000103129614000027/0001031296-14-000027-index.htm;21.5.2014;FALSE
292753;NVIDIA CORP;NVDA;1045810;20.5.2014;10-Q;26.4.2014;2015;1;http://www.sec.gov/Archives/edgar/data/1045810/000104581014000085/0001045810-14-000085-index.htm;21.5.2014;TRUE
26761;TARGET CORP;TGT;27419;20.5.2014;8-K;2.5.2014;2014;1;http://www.sec.gov/Archives/edgar/data/27419/000002741914000018/0000027419-14-000018-index.htm;21.5.2014;TRUE
788396;Firstenergy Corp;FE;1031296;19.5.2014;8-K ;29.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/1031296/000103129614000025/0001031296-14-000025-index.htm;20.5.2014;FALSE
26799;SALESFORCE COM INC;CRM;1108524;19.5.2014;8-K;29.4.2014;2015;1;http://www.sec.gov/Archives/edgar/data/1108524/000144530514002263/0001445305-14-002263-index.htm;20.5.2014;TRUE
925790;Caterpillar Inc;CAT;18230;19.5.2014;8-K ;29.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/18230/000001823014000190/0000018230-14-000190-index.htm;20.5.2014;FALSE
971298;Pfizer Inc;PFE;78003;19.5.2014;8-K ;28.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/78003/000119312514205732/0001193125-14-205732-index.htm;20.5.2014;FALSE
422699;Google Inc.;GOOG;1652044;10.4.2013;UPLOAD;29.6.2013;2013;2;http://www.sec.gov/Archives/edgar/data/1288776/000000000013019642/0000000000-13-019642-index.htm;19.5.2014;FALSE
422700;Google Inc.;GOOG;1652044;26.6.2013;UPLOAD;29.6.2013;2013;2;http://www.sec.gov/Archives/edgar/data/1288776/000000000013035298/0000000000-13-035298-index.htm;19.5.2014;FALSE
422701;Google Inc.;GOOG;1652044;12.11.2013;UPLOAD;30.12.2013;2013;4;http://www.sec.gov/Archives/edgar/data/1288776/000000000013062206/0000000000-13-062206-index.htm;19.5.2014;FALSE
422702;Google Inc.;GOOG;1652044;15.1.2014;UPLOAD;30.3.2014;2014;1;http://www.sec.gov/Archives/edgar/data/1288776/000000000014002434/0000000000-14-002434-index.htm;19.5.2014;FALSE
422703;Google Inc.;GOOG;1652044;14.4.2014;UPLOAD;29.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/1288776/000000000014019151/0000000000-14-019151-index.htm;19.5.2014;FALSE
422690;Google Inc.;GOOG;1652044;14.4.2013;CORRESP;29.6.2013;2013;2;http://www.sec.gov/Archives/edgar/data/1288776/000128877613000020/0001288776-13-000020-index.htm;19.5.2014;FALSE
422691;Google Inc.;GOOG;1652044;9.5.2013;CORRESP;29.6.2013;2013;2;http://www.sec.gov/Archives/edgar/data/1288776/000128877613000033/0001288776-13-000033-index.htm;19.5.2014;FALSE
422692;Google Inc.;GOOG;1652044;30.6.2013;CORRESP;29.9.2013;2013;3;http://www.sec.gov/Archives/edgar/data/1288776/000128877613000042/0001288776-13-000042-index.htm;19.5.2014;FALSE
422693;Google Inc.;GOOG;1652044;8.8.2013;CORRESP;29.9.2013;2013;3;http://www.sec.gov/Archives/edgar/data/1288776/000128877613000057/0001288776-13-000057-index.htm;19.5.2014;FALSE
422694;Google Inc.;GOOG;1652044;17.11.2013;CORRESP;30.12.2013;2013;4;http://www.sec.gov/Archives/edgar/data/1288776/000128877613000071/0001288776-13-000071-index.htm;19.5.2014;FALSE
422695;Google Inc.;GOOG;1652044;19.12.2013;CORRESP;30.12.2013;2013;4;http://www.sec.gov/Archives/edgar/data/1288776/000128877613000074/0001288776-13-000074-index.htm;19.5.2014;FALSE
422696;Google Inc.;GOOG;1652044;29.1.2014;CORRESP;30.3.2014;2014;1;http://www.sec.gov/Archives/edgar/data/1288776/000128877614000015/0001288776-14-000015-index.htm;19.5.2014;FALSE
422697;Google Inc.;GOOG;1652044;12.2.2014;CORRESP;30.3.2014;2014;1;http://www.sec.gov/Archives/edgar/data/1288776/000128877614000022/0001288776-14-000022-index.htm;19.5.2014;FALSE
422698;Google Inc.;GOOG;1652044;27.2.2014;CORRESP;30.3.2014;2014;1;http://www.sec.gov/Archives/edgar/data/1288776/000128877614000024/0001288776-14-000024-index.htm;19.5.2014;FALSE
971299;Pfizer Inc;PFE;78003;18.5.2014;8-K ;28.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/78003/000119312514203857/0001193125-14-203857-index.htm;19.5.2014;FALSE
26817;TARGET CORP;TGT;27419;18.5.2014;DEF 14A;31.1.2014;2013;4;http://www.sec.gov/Archives/edgar/data/27419/000130817914000217/0001308179-14-000217-index.htm;19.5.2014;TRUE
