Filing ID,Company,Ticker,CIK,Filing Date,Filing Type,Period End,Fiscal Year,Fiscal Period,SEC Link,Calcbench Published,Data,is_verified_signal
1625086,TARGET CORP,TGT,27419,2020-08-18,8-K,31.7.2020,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/27419/000002741920000020/0000027419-20-000020-index.htm,2020-08-19,True,True
1624627,Walmart Inc.,WMT,104169,2020-08-17,8-K,30.7.2020,2021.0,2.0,https://www.sec.gov/Archives/edgar/data/104169/000010416920000037/0000104169-20-000037-index.htm,2020-08-18,True,True
1624133,FIRSTENERGY CORP,FE,1031296,2020-08-16,10-Q,29.6.2020,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/1031296/000103129620000030/0001031296-20-000030-index.htm,2020-08-17,True,True
1602369,MCDONALDS CORP,MCD,63908,2020-08-09,10-Q,29.6.2020,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/63908/000006390820000063/0000063908-20-000063-index.htm,2020-08-10,True,True
1599837,PFIZER INC,PFE,78003,2020-08-05,10-Q,27.6.2020,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/78003/000007800320000060/0000078003-20-000060-index.htm,2020-08-06,True,True
1598068,AT&T INC.,T,732717,2020-08-04,10-Q,29.6.2020,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/732717/000156276220000279/0001562762-20-000279-index.htm,2020-08-05,True,True
1597387,EXXON MOBIL CORP,XOM,34088,2020-08-04,10-Q,29.6.2020,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/34088/000003408820000073/0000034088-20-000073-index.htm,2020-08-05,True,True
1597349,CHEVRON CORP,CVX,93410,2020-08-04,10-Q,29.6.2020,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/93410/000009341020000039/0000093410-20-000039-index.htm,2020-08-05,True,True
1597311,CATERPILLAR INC,CAT,18230,2020-08-04,10-Q,29.6.2020,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/18230/000001823020000214/0000018230-20-000214-index.htm,2020-08-05,True,True
1596595,Walt Disney Co,DIS,1744489,2020-08-03,10-Q,26.6.2020,2020.0,3.0,https://www.sec.gov/Archives/edgar/data/1744489/000174448920000151/0001744489-20-000151-index.htm,2020-08-04,True,True
1596259,Walt Disney Co,DIS,1744489,2020-08-03,8-K,26.6.2020,2020.0,3.0,https://www.sec.gov/Archives/edgar/data/1744489/000174448920000149/0001744489-20-000149-index.htm,2020-08-04,True,True
1595877,UNITED PARCEL SERVICE INC,UPS,1090727,2020-08-03,10-Q,29.6.2020,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/1090727/000109072720000037/0001090727-20-000037-index.htm,2020-08-04,True,True
1595374,JPMORGAN CHASE & CO,JPM,19617,2020-08-02,10-Q,29.6.2020,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/19617/000001961720000372/0000019617-20-000372-index.htm,2020-08-03,True,True
1594317,Chubb Ltd,CB,896159,2020-07-30,10-Q,29.6.2020,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/896159/000089615920000010/0000896159-20-000010-index.htm,2020-07-31,True,True
1594162,CHEVRON CORP,CVX,93410,2020-07-30,8-K,29.6.2020,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/93410/000009341020000036/0000093410-20-000036-index.htm,2020-07-31,True,True
1594001,Alphabet Inc.,GOOG,1652044,2020-07-30,10-Q,29.6.2020,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000032/0001652044-20-000032-index.htm,2020-07-31,True,True
1593972,VISA INC.,V,1403161,2020-07-30,10-Q,29.6.2020,2020.0,3.0,https://www.sec.gov/Archives/edgar/data/1403161/000140316120000048/0001403161-20-000048-index.htm,2020-07-31,True,True
1593962,FORD MOTOR CO,F,37996,2020-07-30,10-Q,29.6.2020,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/37996/000003799620000057/0000037996-20-000057-index.htm,2020-07-31,True,True
1593893,Apple Inc.,AAPL,320193,2020-07-30,10-Q,26.6.2020,2020.0,3.0,https://www.sec.gov/Archives/edgar/data/320193/000032019320000062/0000320193-20-000062-index.htm,2020-07-31,True,True
1593890,BANK OF AMERICA CORP /DE/,BAC,70858,2020-07-30,10-Q,29.6.2020,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/70858/000007085820000040/0000070858-20-000040-index.htm,2020-07-31,True,True
1593508,Apple Inc.,AAPL,320193,2020-07-29,8-K,26.6.2020,2020.0,3.0,https://www.sec.gov/Archives/edgar/data/320193/000032019320000060/0000320193-20-000060-index.htm,2020-07-30,True,True
1593400,Alphabet Inc.,GOOG,1652044,2020-07-29,8-K,29.6.2020,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000031/0001652044-20-000031-index.htm,2020-07-30,True,True
1592834,PROCTER & GAMBLE Co,PG,80424,2020-07-29,8-K,29.6.2020,2020.0,4.0,https://www.sec.gov/Archives/edgar/data/80424/000008042420000048/0000080424-20-000048-index.htm,2020-07-30,True,True
1592692,UNITED PARCEL SERVICE INC,UPS,1090727,2020-07-29,8-K,29.6.2020,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/1090727/000109072720000034/0001090727-20-000034-index.htm,2020-07-30,True,True
1592338,ADVANCED MICRO DEVICES INC,AMD,2488,2020-07-28,10-Q,26.6.2020,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/2488/000000248820000103/0000002488-20-000103-index.htm,2020-07-29,True,True
1591223,ADVANCED MICRO DEVICES INC,AMD,2488,2020-07-27,8-K,26.6.2020,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/2488/000000248820000101/0000002488-20-000101-index.htm,2020-07-28,True,True
1591173,Chubb Ltd,CB,896159,2020-07-27,8-K,29.6.2020,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/896159/000119312520201001/0001193125-20-201001-index.htm,2020-07-28,True,True
1590961,VERIZON COMMUNICATIONS INC,VZ,732712,2020-07-27,10-Q,29.6.2020,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/000073271220000052/0000732712-20-000052-index.htm,2020-07-28,True,True
1590891,PFIZER INC,PFE,78003,2020-07-27,8-K,27.6.2020,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/78003/000007800320000056/0000078003-20-000056-index.htm,2020-07-28,True,True
1590805,MCDONALDS CORP,MCD,63908,2020-07-27,8-K,29.6.2020,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/63908/000006390820000060/0000063908-20-000060-index.htm,2020-07-28,True,True
1589885,JOHNSON & JOHNSON,JNJ,200406,2020-07-23,10-Q,27.6.2020,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/200406/000020040620000050/0000200406-20-000050-index.htm,2020-07-24,True,True
1589721,VERIZON COMMUNICATIONS INC,VZ,732712,2020-07-23,8-K,29.6.2020,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/732712/000073271220000048/0000732712-20-000048-index.htm,2020-07-24,True,True
1589668,INTEL CORP,INTC,50863,2020-07-23,10-Q,26.6.2020,2020.0,2.0,https://www.sec.gov/Archives/edgar/data/50863/000005086320000026/0000050863-20-000026-index.htm,2020-07-24,True,True
1589392,FIRSTENERGY CORP,FE,1031296,2020-07-22,8-K,30.12.2019,2019.0,4.0,https://www.sec.gov/Archives/edgar/data/1031296/000103129620000027/0001031296-20-000027-index.htm,2020-07-23,True,True
